SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team2WithMaskedSaiyan_metrics_53,Baseline2,0,17719852.0,452742.0,5,2,0,0
team2WithMaskedSaiyan_metrics_54,Baseline2,1,46310573.0,260689.0,9,2,0,0
team2WithMaskedSaiyan_metrics_55,Baseline2,1,43981959.0,572586.0,9,2,1,0
team2WithMaskedSaiyan_metrics_56,Baseline2,1,45758033.0,331033.0,9,2,0,0
team2WithMaskedSaiyan_metrics_57,Baseline2,0,26008804.0,571804.0,6,2,0,0
team2WithMaskedSaiyan_metrics_58,Baseline2,0,24134930.0,550534.0,5,2,0,0
team2WithMaskedSaiyan_metrics_59,Baseline2,0,22823472.0,460351.0,6,2,0,0
team2WithMaskedSaiyan_metrics_6,Baseline2,0,25526138.0,453298.0,5,2,0,0
team2WithMaskedSaiyan_metrics_60,Baseline2,0,28840715.0,615377.0,6,2,0,0
team2WithMaskedSaiyan_metrics_61,Baseline2,1,43760562.0,488297.0,10,2,1,0
team2WithMaskedSaiyan_metrics_62,Baseline2,0,27978055.0,440992.0,6,2,0,0
team2WithMaskedSaiyan_metrics_63,Baseline2,0,33846633.0,443435.0,6,2,0,0
team2WithMaskedSaiyan_metrics_64,Baseline2,0,26207890.0,828300.0,7,2,1,0
team2WithMaskedSaiyan_metrics_65,Baseline2,0,21538017.0,554120.0,5,2,0,0
team2WithMaskedSaiyan_metrics_66,Baseline2,0,21208287.0,508487.0,5,2,0,0
team2WithMaskedSaiyan_metrics_67,Baseline2,1,43677560.0,550023.0,9,2,1,0
team2WithMaskedSaiyan_metrics_68,Baseline2,0,35509751.0,497801.0,6,2,0,0
team2WithMaskedSaiyan_metrics_69,Baseline2,0,24383615.0,483475.0,5,2,0,0
team2WithMaskedSaiyan_metrics_7,Baseline2,1,43980548.0,407496.0,7,2,1,0
team2WithMaskedSaiyan_metrics_70,Baseline2,0,24415396.0,442293.0,5,2,0,0
team2WithMaskedSaiyan_metrics_71,Baseline2,0,23429360.0,456732.0,5,2,0,0
team2WithMaskedSaiyan_metrics_72,Baseline2,1,45448082.0,605827.0,9,2,1,0
team2WithMaskedSaiyan_metrics_73,Baseline2,0,35786012.0,846494.0,8,2,1,0
team2WithMaskedSaiyan_metrics_74,Baseline2,0,31367672.0,442525.0,6,2,0,0
team2WithMaskedSaiyan_metrics_75,Baseline2,0,20076107.0,588766.0,5,2,0,0
team2WithMaskedSaiyan_metrics_76,Baseline2,1,43503897.0,575866.0,9,2,1,0
team2WithMaskedSaiyan_metrics_77,Baseline2,0,24557465.0,564541.0,6,2,0,0
team2WithMaskedSaiyan_metrics_78,Baseline2,1,45342611.0,492703.0,9,2,1,0
team2WithMaskedSaiyan_metrics_79,Baseline2,0,23749531.0,633099.0,5,2,0,0
team2WithMaskedSaiyan_metrics_8,Baseline2,0,19346596.0,439115.0,5,2,0,0
team2WithMaskedSaiyan_metrics_80,Baseline2,0,29579113.0,468351.0,6,2,0,0
team2WithMaskedSaiyan_metrics_81,Baseline2,1,45014606.0,802557.0,9,2,1,0
team2WithMaskedSaiyan_metrics_82,Baseline2,0,24740021.0,452656.0,6,2,0,0
team2WithMaskedSaiyan_metrics_83,Baseline2,0,29080400.0,614441.0,6,2,0,0
team2WithMaskedSaiyan_metrics_84,Baseline2,0,26995932.0,598571.0,6,2,0,0
team2WithMaskedSaiyan_metrics_85,Baseline2,0,22677840.0,493280.0,6,2,0,0
team2WithMaskedSaiyan_metrics_86,Baseline2,1,44083449.0,621774.0,10,2,1,0
team2WithMaskedSaiyan_metrics_87,Baseline2,1,44629504.0,796572.0,9,2,1,0
team2WithMaskedSaiyan_metrics_88,Baseline2,1,45307526.0,509171.0,8,2,1,0
team2WithMaskedSaiyan_metrics_89,Baseline2,0,24559078.0,479101.0,6,2,0,0
team2WithMaskedSaiyan_metrics_9,Baseline2,1,45702951.0,235412.0,9,2,0,0
team2WithMaskedSaiyan_metrics_90,Baseline2,0,25397558.0,469283.0,5,2,0,0
team2WithMaskedSaiyan_metrics_91,Baseline2,0,35562656.0,912946.0,8,2,1,0
team2WithMaskedSaiyan_metrics_92,Baseline2,1,45605658.0,669672.0,9,2,1,0
team2WithMaskedSaiyan_metrics_93,Baseline2,0,22419407.0,445024.0,5,2,0,0
team2WithMaskedSaiyan_metrics_94,Baseline2,0,16417232.0,447529.0,5,2,0,0
team2WithMaskedSaiyan_metrics_95,Baseline2,0,42191100.0,843635.0,9,2,1,0
team2WithMaskedSaiyan_metrics_96,Baseline2,0,31263542.0,507352.0,5,2,0,0
team2WithMaskedSaiyan_metrics_97,Baseline2,0,28077951.0,448849.0,6,2,0,0
team2WithMaskedSaiyan_metrics_98,Baseline2,0,42248547.0,778707.0,9,2,1,0
team2WithMaskedSaiyan_metrics_99,Baseline2,0,35202018.0,503229.0,6,2,0,0
team3WithRofVegeta_metrics,Baseline3,0,37347063.0,962158.0,7,2,1,0
team3WithRofVegeta_metrics_10,Baseline3,0,28426158.0,612597.0,6,2,0,0
team3WithRofVegeta_metrics_100,Baseline3,0,34450908.0,805716.0,8,2,1,0
team3WithRofVegeta_metrics_11,Baseline3,0,21234174.0,585659.0,6,2,0,0
team3WithRofVegeta_metrics_12,Baseline3,0,41020379.0,830372.0,8,2,1,0
team3WithRofVegeta_metrics_13,Baseline3,1,46604053.0,640925.0,9,2,1,0
team3WithRofVegeta_metrics_14,Baseline3,1,44473322.0,604683.0,8,2,1,0
team3WithRofVegeta_metrics_15,Baseline3,0,21432164.0,469065.0,5,2,0,0
team3WithRofVegeta_metrics_16,Baseline3,1,45196876.0,810249.0,8,2,1,0
team3WithRofVegeta_metrics_17,Baseline3,0,29947866.0,459753.0,5,2,0,0
team3WithRofVegeta_metrics_18,Baseline3,0,18783632.0,443509.0,5,2,0,0
team3WithRofVegeta_metrics_19,Baseline3,0,20802747.0,440048.0,5,2,0,0
team3WithRofVegeta_metrics_2,Baseline3,0,37360341.0,448833.0,7,2,0,0
team3WithRofVegeta_metrics_20,Baseline3,0,35174078.0,813481.0,8,2,1,0
team3WithRofVegeta_metrics_21,Baseline3,1,44728576.0,524673.0,9,2,1,0
team3WithRofVegeta_metrics_22,Baseline3,0,37232143.0,809744.0,9,2,1,0
team3WithRofVegeta_metrics_23,Baseline3,0,33313433.0,808087.0,8,2,1,0
team3WithRofVegeta_metrics_24,Baseline3,0,24466517.0,789470.0,7,2,1,0
team3WithRofVegeta_metrics_25,Baseline3,1,43963330.0,426327.0,8,2,1,0
team3WithRofVegeta_metrics_26,Baseline3,0,32990552.0,789469.0,8,2,1,0
team3WithRofVegeta_metrics_27,Baseline3,1,44029957.0,718112.0,8,2,1,0
team3WithRofVegeta_metrics_28,Baseline3,0,25667626.0,453370.0,5,2,0,0
team3WithRofVegeta_metrics_29,Baseline3,0,42825070.0,436423.0,8,2,0,0
team3WithRofVegeta_metrics_3,Baseline3,1,43683134.0,745286.0,8,2,1,0
team3WithRofVegeta_metrics_30,Baseline3,0,25193473.0,447095.0,5,2,0,0
team3WithRofVegeta_metrics_31,Baseline3,0,20486197.0,438745.0,5,2,0,0
team3WithRofVegeta_metrics_32,Baseline3,1,44537607.0,378842.0,7,2,0,0
team3WithRofVegeta_metrics_33,Baseline3,0,23497857.0,458589.0,6,2,0,0
