SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team2WithMaskedSaiyan_metrics_98,Baseline2,0,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_99,Baseline2,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics,Baseline3,0,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_10,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_100,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_11,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_12,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_13,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_14,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_15,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_16,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_17,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_18,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_19,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_2,Baseline3,0,0.0,0.0,7,2,0,0
team3WithRofVegeta_metrics_20,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_21,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_22,Baseline3,0,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_23,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_24,Baseline3,0,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_25,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_26,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_27,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_28,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_29,Baseline3,0,0.0,0.0,8,2,0,0
team3WithRofVegeta_metrics_3,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_30,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_31,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_32,Baseline3,1,0.0,0.0,7,2,0,0
team3WithRofVegeta_metrics_33,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_34,Baseline3,0,0.0,0.0,7,2,0,0
team3WithRofVegeta_metrics_35,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_36,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_37,Baseline3,1,0.0,0.0,8,2,0,0
team3WithRofVegeta_metrics_38,Baseline3,1,0.0,0.0,10,2,1,0
team3WithRofVegeta_metrics_39,Baseline3,0,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_4,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_40,Baseline3,0,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_41,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_42,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_43,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_44,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_45,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_46,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_47,Baseline3,1,0.0,0.0,9,2,0,0
team3WithRofVegeta_metrics_48,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_49,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_5,Baseline3,0,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_50,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_51,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_52,Baseline3,0,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_53,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_54,Baseline3,1,0.0,0.0,9,2,0,0
team3WithRofVegeta_metrics_55,Baseline3,0,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_56,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_57,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_58,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_59,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_6,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_60,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_61,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_62,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_63,Baseline3,1,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_64,Baseline3,0,0.0,0.0,7,2,0,0
team3WithRofVegeta_metrics_65,Baseline3,0,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_66,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_67,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_68,Baseline3,0,0.0,0.0,7,2,0,0
team3WithRofVegeta_metrics_69,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_7,Baseline3,1,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_70,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_71,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_72,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_73,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_74,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_75,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_76,Baseline3,0,0.0,0.0,7,2,0,0
team3WithRofVegeta_metrics_77,Baseline3,1,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_78,Baseline3,1,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_79,Baseline3,0,0.0,0.0,7,2,1,0
team3WithRofVegeta_metrics_8,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_80,Baseline3,0,0.0,0.0,7,2,0,0
team3WithRofVegeta_metrics_81,Baseline3,0,0.0,0.0,8,2,1,0
team3WithRofVegeta_metrics_82,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_83,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_84,Baseline3,0,0.0,0.0,6,2,1,0
team3WithRofVegeta_metrics_85,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_86,Baseline3,1,0.0,0.0,10,2,1,0
team3WithRofVegeta_metrics_87,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_88,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_89,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_9,Baseline3,1,0.0,0.0,9,2,0,0
team3WithRofVegeta_metrics_90,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_91,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_92,Baseline3,0,0.0,0.0,6,2,0,0
team3WithRofVegeta_metrics_93,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_94,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_95,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_96,Baseline3,0,0.0,0.0,5,2,0,0
team3WithRofVegeta_metrics_97,Baseline3,0,0.0,0.0,6,2,1,0
team3WithRofVegeta_metrics_98,Baseline3,0,0.0,0.0,9,2,1,0
team3WithRofVegeta_metrics_99,Baseline3,1,0.0,0.0,7,2,0,0
teamGvariableSlot_metrics,AGL_UI_no_adv,0,4238247.0,204756.0,7,2,1,0
teamGvariableSlot_metrics_10,AGL_UI_no_adv,1,10212851.0,0.0,9,2,1,0
teamGvariableSlot_metrics_100,AGL_UI_no_adv,1,7017873.0,1440.0,9,2,1,0
teamGvariableSlot_metrics_11,AGL_UI_no_adv,1,4091912.0,206324.0,8,2,1,0
teamGvariableSlot_metrics_12,AGL_UI_no_adv,1,9303326.0,170.0,8,2,1,0
teamGvariableSlot_metrics_13,AGL_UI_no_adv,0,7106403.0,108833.0,6,2,0,0
teamGvariableSlot_metrics_14,AGL_UI_no_adv,0,4454755.0,113786.0,9,2,1,0
teamGvariableSlot_metrics_15,AGL_UI_no_adv,1,9455022.0,250711.0,5,2,1,0
teamGvariableSlot_metrics_16,AGL_UI_no_adv,0,7367236.0,113199.0,8,2,1,0
teamGvariableSlot_metrics_17,AGL_UI_no_adv,0,7397261.0,11115.0,6,2,0,0
teamGvariableSlot_metrics_18,AGL_UI_no_adv,0,920916.0,0.0,5,2,0,0
teamGvariableSlot_metrics_19,AGL_UI_no_adv,0,4043622.0,28695.0,8,2,1,0
teamGvariableSlot_metrics_2,AGL_UI_no_adv,1,5810339.0,10.0,7,2,1,0
teamGvariableSlot_metrics_20,AGL_UI_no_adv,0,6276496.0,214542.0,8,2,0,1
teamGvariableSlot_metrics_21,AGL_UI_no_adv,0,2609816.0,80748.0,7,2,0,0
teamGvariableSlot_metrics_22,AGL_UI_no_adv,1,10840716.0,72022.0,9,2,0,0
teamGvariableSlot_metrics_23,AGL_UI_no_adv,1,7826495.0,133270.0,9,2,1,1
teamGvariableSlot_metrics_24,AGL_UI_no_adv,1,8756474.0,111005.0,9,2,1,0
teamGvariableSlot_metrics_25,AGL_UI_no_adv,0,7767064.0,123425.0,8,2,0,0
teamGvariableSlot_metrics_26,AGL_UI_no_adv,1,9426587.0,31678.0,9,2,0,1
teamGvariableSlot_metrics_27,AGL_UI_no_adv,1,10635064.0,267547.0,9,2,0,1
teamGvariableSlot_metrics_28,AGL_UI_no_adv,0,4604376.0,527452.0,5,2,0,0
teamGvariableSlot_metrics_29,AGL_UI_no_adv,1,8015308.0,107472.0,8,2,1,0
teamGvariableSlot_metrics_3,AGL_UI_no_adv,1,9879876.0,81469.0,7,2,1,0
teamGvariableSlot_metrics_30,AGL_UI_no_adv,1,10752459.0,20791.0,7,2,0,0
teamGvariableSlot_metrics_31,AGL_UI_no_adv,1,10107239.0,111.0,9,2,0,1
teamGvariableSlot_metrics_32,AGL_UI_no_adv,1,7696575.0,88398.0,9,2,0,1
teamGvariableSlot_metrics_33,AGL_UI_no_adv,1,10942554.0,113022.0,8,2,1,0
teamGvariableSlot_metrics_34,AGL_UI_no_adv,1,11017628.0,328833.0,9,2,0,1
